GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-course,com.example.demo.controllers,OrderController,38,3,4,0,10,1,4,1,2,1
auth-course,com.example.demo.controllers,UserController,47,3,2,0,10,1,4,1,3,1
auth-course,com.example.demo.controllers,ItemController,27,3,4,0,5,1,5,1,3,1
auth-course,com.example.demo.controllers,CartController,102,3,8,0,22,1,8,1,4,1
auth-course,com.example.demo.model.requests,CreateUserRequest,10,0,0,0,4,0,3,0,3,0
auth-course,com.example.demo.model.requests,ModifyCartRequest,24,0,0,0,10,0,7,0,7,0
auth-course,com.example.demo,SareetaApplication,5,3,0,0,2,1,1,1,1,1
auth-course,com.example.demo.model.persistence,User,21,3,0,0,9,1,6,1,6,1
auth-course,com.example.demo.model.persistence,Item,84,3,14,0,29,1,17,1,10,1
auth-course,com.example.demo.model.persistence,UserOrder,50,3,0,0,17,1,9,1,9,1
auth-course,com.example.demo.model.persistence,Cart,88,3,8,0,26,1,14,1,10,1
